region_code,country_name,country_code
SSA,Angola,AGO
SSA,Angola,AGO
SSA,Angola,AGO
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
ECA,Albania,ALB
OHI,United Arab Emirates,ARE
OHI,United Arab Emirates,ARE
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
LAC,Argentina,ARG
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
ECA,Armenia,ARM
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Australia,AUS
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
OHI,Austria,AUT
ECA,Azerbaijan,AZE
ECA,Azerbaijan,AZE
ECA,Azerbaijan,AZE
ECA,Azerbaijan,AZE
ECA,Azerbaijan,AZE
ECA,Azerbaijan,AZE
SSA,Burundi,BDI
SSA,Burundi,BDI
SSA,Burundi,BDI
SSA,Burundi,BDI
SSA,Burundi,BDI
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
OHI,Belgium,BEL
