year,country_code,employers,vulnerable_emp,child_emp,part_time,labor_force_fem,labor_force_total,unemp
1960,JPN,,,,,,,1.7
1960,USA,,,,,,,5.5
1961,JPN,,,,,,,1.4
1961,USA,,,,,,,6.7
1962,JPN,,,,,,,1.3
1962,USA,,,,,,,5.5
1963,JPN,,,,,,,1.3
1963,USA,,,,,,,5.7
1964,JPN,,,,,,,1.1
1964,USA,,,,,,,5.2
1965,JPN,,,,,,,1.2
1965,USA,,,,,,,4.5
1966,JPN,,,,,,,1.3
1966,USA,,,,,,,3.8
1967,JPN,,,,,,,1.3
1967,USA,,,,,,,3.8
1968,JPN,,,,,,,1.2
1968,USA,,,,,,,3.6
1969,AUT,,,,,,,2.8
1969,CAN,,,,,,,4.7
1969,ESP,,,,,,,1.3
1969,FIN,,,,,,,2.83
1969,ISR,,,,,,,4.47
1969,JAM,,,,,,,17.58
1969,JPN,,,,,,,1.1
1969,KOR,,,,,,,4.86
1969,PER,,,,,,,5.9
1969,PHL,,,,,,,6.7
1969,SWE,,,,,,,1.89
1969,SYR,,,,,,,4.3
1969,TTO,,,,,,,13.17
1969,USA,,,,,,,3.5
1970,ARG,,,,,,,4.8
1970,AUT,,,,,,,2.4
1970,CAN,,,,,,,5.9
1970,EGY,,,,,,,2.4
1970,ESP,,,,,,,1.1
1970,FIN,,,,,,,1.89
1970,FRA,,,,,,,2.42
1970,ISR,,,,,,,3.82
1970,ITA,,,,,,,5.44
1970,JPN,,,,,,,1.1
1970,KOR,,,,,,,4.51
1970,MYS,,,,,,,5.136
1970,PAN,,,,,,,7.1
1970,PER,,,,,,,4.84
1970,SWE,,,,,,,1.51
1970,SYR,,,,,,,6.4
1970,TTO,,,,,,,12.76
1970,URY,,,,,,,7.5
1970,USA,,,,,,,4.9
1971,ARG,,,,,,,6.0
1971,AUT,,,,,,,1.5
1971,BEL,,,,,,,2.1
1971,BOL,,,,,,,9.0
1971,CAN,,,,,,,6.4
1971,EGY,,,,,,,1.82
1971,ESP,,,,,,,1.5
1971,FIN,,,,,,,2.26
1971,FRA,,,,,,,2.67
1971,GBR,,,,,,,3.3
1971,ISR,,,,,,,3.46
1971,ITA,,,,,,,5.44
1971,JPN,,,,,,,1.2
1971,KOR,,,,,,,4.57
1971,PAK,,,,,,,2.09
1971,PAN,,,,,,,7.6
1971,PER,,,,,,,4.57
1971,PHL,,,,,,,5.28
1971,SWE,,,,,,,2.55
1971,SYR,,,,,,,7.5
1971,THA,,,,,,,0.19
1971,TTO,,,,,,,13.03
1971,URY,,,,,,,7.6
1971,USA,,,,,,,5.9
1972,ARG,,,,,,,6.6
1972,AUT,,,,,,,1.3
1972,BEL,,,,,,,2.7
1972,BOL,,,,,,,8.1
1972,BRA,,,,,,,3.06
1972,CAN,,,,,,,6.3
1972,EGY,,,,,,,1.53
1972,ESP,,,,,,,1.5
1972,FIN,,,,,,,2.42
1972,FRA,,,,,,,2.77
1972,GBR,,,,,,,3.7
1972,ISR,,,,,,,2.7
1972,ITA,,,,,,,6.39
1972,JAM,,,,,,,23.18
1972,JPN,,,,,,,1.4
1972,KOR,,,,,,,4.59
1972,NOR,,,,,,,1.67
1972,PAK,,,,,,,2.15
1972,PAN,,,,,,,6.79
1972,PER,,,,,,,4.4
1972,PHL,,,,,,,5.36
1972,SWE,,,,,,,2.7
1972,SYR,,,,,,,4.7
1972,THA,,,,,,,0.51
1972,URY,,,,,,,7.7
1972,USA,,,,,,,5.6
1973,ARG,,,,,,,5.6
1973,AUT,,,,,,,1.2
1973,BEL,,,,,,,2.8
1973,BOL,,,,,,,7.1
1973,BRA,,,,,,,2.78
1973,CAN,,,,,,,5.6
1973,DNK,,,,,,,0.9
1973,EGY,,,,,,,1.71
1973,ESP,,,,,,,2.49
1973,FIN,,,,,,,2.45
1973,FRA,,,,,,,2.69
1973,GBR,,,,,,,2.6
1973,ISR,,,,,,,2.64
1973,ITA,,,,,,,6.37
1973,JAM,,,,,,,22.11
1973,JPN,,,,,,,1.3
1973,KOR,,,,,,,4.04
1973,NOR,,,,,,,1.55
1973,PAK,,,,,,,2.0
1973,PAN,,,,,,,6.99
1973,PER,,,,,,,4.23
1973,PHL,,,,,,,4.77
1973,SWE,,,,,,,2.46
1973,SYR,,,,,,,4.5
1973,THA,,,,,,,0.43
1973,TTO,,,,,,,15.4
1973,URY,,,,,,,8.9
1973,USA,,,,,,,4.9
1974,ARG,,,,,,,3.4
1974,AUT,,,,,,,1.3
1974,BEL,,,,,,,3.0
1974,BOL,,,,,,,6.1
1974,CAN,,,,,,,5.4
1974,DNK,,,,,,,2.1
1974,ECU,,,,,,,4.4
1974,EGY,,,,,,,2.3
1974,ESP,,,,,,,3.04
1974,FIN,,,,,,,1.61
1974,FRA,,,,,,,2.86
1974,GBR,,,,,,,2.6
1974,HND,,,,,,,8.1
1974,ISR,,,,,,,3.05
1974,ITA,,,,,,,5.38
1974,JAM,,,,,,,20.5
1974,JPN,,,,,,,1.4
1974,KOR,,,,,,,4.15
1974,NOR,,,,,,,1.48
1974,PAK,,,,,,,1.67
1974,PAN,,,,,,,5.8
1974,PER,,,,,,,4.0
1974,PHL,,,,,,,3.21
1974,PRT,,,,,,,1.77
1974,SWE,,,,,,,1.98
1974,SYR,,,,,,,5.1
1974,THA,,,,,,,0.47
1974,TTO,,,,,,,15.24
1974,URY,,,,,,,8.1
1974,USA,,,,,,,5.6
1975,ARE,,,,,,,1.96
