year,country_code,gender,value
1960,ALB,female,58.877
1960,ALB,male,54.005
1960,DZA,female,43.858
1960,DZA,male,38.225
1960,AGO,female,39.739
1960,AGO,male,36.248
1960,ARG,female,67.789
1960,ARG,male,61.202
1960,ARM,female,62.15
1960,ARM,male,56.123
1960,AUS,female,74.0
1960,AUS,male,67.7857142857143
1960,AUT,female,71.92
1960,AUT,male,65.41
1960,AZE,female,54.873
1960,AZE,male,46.646
1960,BGD,female,43.178
1960,BGD,male,44.718
1960,BLR,female,72.736
1960,BLR,male,65.939
1960,BEL,female,72.77
1960,BEL,male,66.78
1960,BLZ,female,59.542
1960,BLZ,male,55.357
1960,BEN,female,40.694
1960,BEN,male,36.824
1960,BTN,female,37.328
1960,BTN,male,35.479
1960,BOL,female,45.562
1960,BOL,male,41.17
1960,BIH,female,60.453
1960,BIH,male,56.552
1960,BWA,female,53.123
1960,BWA,male,49.178
1960,BRA,female,55.509
1960,BRA,male,51.002
1960,BGR,female,71.03
1960,BGR,male,67.55
1960,BFA,female,37.252
1960,BFA,male,34.997
1960,BDI,female,44.713
1960,BDI,male,41.743
1960,CPV,female,49.88
1960,CPV,male,47.319
1960,CMR,female,41.698
1960,CMR,male,29.445
1960,CAN,female,74.15
1960,CAN,male,68.26
1960,CAF,female,40.634
1960,CAF,male,38.52
1960,TCD,female,40.6
1960,TCD,male,37.842
1960,CHL,female,59.776
1960,CHL,male,54.84
1960,CHN,female,34.858
1960,CHN,male,32.166
1960,COL,female,58.459
1960,COL,male,54.775
1960,COM,female,42.651
1960,COM,male,38.975
1960,COD,female,41.936
1960,COD,male,39.469
1960,COG,female,49.066
1960,COG,male,46.157
1960,CRI,female,64.787
1960,CRI,male,62.17
1960,CIV,female,39.42
1960,CIV,male,35.227
1960,HRV,female,68.204
1960,HRV,male,63.406
1960,CYP,female,67.299
1960,CYP,male,59.742
1960,CZE,female,73.34
1960,CZE,male,67.5
1960,DNK,female,74.0
1960,DNK,male,70.44
1960,DJI,female,45.382
1960,DJI,male,41.52
1960,DOM,female,53.305
1960,DOM,male,50.257
1960,ECU,female,55.336
1960,ECU,male,51.511
1960,EGY,female,47.355
1960,EGY,male,41.772
1960,SLV,female,50.351
1960,SLV,male,46.31
1960,EST,female,73.022
1960,EST,male,64.68
1960,SWZ,female,47.815
1960,SWZ,male,44.909
1960,ETH,female,43.303
1960,ETH,male,36.235
1960,FJI,female,60.589
1960,FJI,male,57.197
1960,FIN,female,72.4
1960,FIN,male,65.41
1960,FRA,female,73.3
1960,FRA,male,66.6
1960,GAB,female,49.126
1960,GAB,male,43.857
1960,GMB,female,35.309
1960,GMB,male,33.835
1960,GEO,female,65.897
1960,GEO,male,56.773
1960,DEU,female,71.749
1960,DEU,male,66.507
