year,country_code,pop_ages,gender,number
1960,ALB,0-14,female,325420.0
1960,ALB,0-14,male,337004.0
1960,ALB,15-64,female,422330.0
1960,ALB,15-64,male,435777.0
1960,ALB,65+,female,50722.0
1960,ALB,65+,male,37547.0
1960,DZA,0-14,female,2544321.0
1960,DZA,0-14,male,2658202.0
1960,DZA,15-64,female,2936234.0
1960,DZA,15-64,male,2929386.0
1960,DZA,65+,female,178509.0
1960,DZA,65+,male,178271.0
1960,AGO,0-14,female,1046932.0
1960,AGO,0-14,male,1112164.0
1960,AGO,15-64,female,1454598.0
1960,AGO,15-64,male,1452872.0
1960,AGO,65+,female,81025.0
1960,AGO,65+,male,84064.0
1960,ARG,0-14,female,3147985.0
1960,ARG,0-14,male,3215756.0
1960,ARG,15-64,female,6460199.0
1960,ARG,15-64,male,6486638.0
1960,ARG,65+,female,567344.0
1960,ARG,65+,male,508122.0
1960,ARM,0-14,female,344270.0
1960,ARM,0-14,male,354357.0
1960,ARM,15-64,female,557444.0
1960,ARM,15-64,male,501549.0
1960,ARM,65+,female,57110.0
1960,ARM,65+,male,48976.0
1960,AUS,0-14,female,1515519.0
1960,AUS,0-14,male,1588855.0
1960,AUS,15-64,female,3070747.0
1960,AUS,15-64,male,3225256.0
1960,AUS,65+,female,497580.0
1960,AUS,65+,male,378520.0
1960,AUT,0-14,female,760043.0
1960,AUT,0-14,male,793518.0
1960,AUT,15-64,female,2476914.0
1960,AUT,15-64,male,2155876.0
1960,AUT,65+,female,527934.0
1960,AUT,65+,male,333254.0
1960,AZE,0-14,female,772685.0
1960,AZE,0-14,male,799154.0
1960,AZE,15-64,female,1169402.0
1960,AZE,15-64,male,972779.0
1960,AZE,65+,female,109673.0
1960,AZE,65+,male,70807.0
1960,BGD,0-14,female,10722865.0
1960,BGD,0-14,male,11093685.0
1960,BGD,15-64,female,13454833.0
1960,BGD,15-64,male,15045600.0
1960,BGD,65+,female,700542.0
1960,BGD,65+,male,811136.0
1960,BLR,0-14,female,1238638.0
1960,BLR,0-14,male,1290140.0
1960,BLR,15-64,female,2903593.0
1960,BLR,15-64,male,2171773.0
1960,BLR,65+,female,387080.0
1960,BLR,65+,male,206776.0
1960,BEL,0-14,female,1060624.0
1960,BEL,0-14,male,1107373.0
1960,BEL,15-64,female,2979615.0
1960,BEL,15-64,male,2908532.0
1960,BEL,65+,female,629802.0
1960,BEL,65+,male,467542.0
1960,BLZ,0-14,female,20337.0
1960,BLZ,0-14,male,20679.0
1960,BLZ,15-64,female,23796.0
1960,BLZ,15-64,male,22703.0
1960,BLZ,65+,female,1983.0
1960,BLZ,65+,male,1821.0
1960,BEN,0-14,female,495445.0
1960,BEN,0-14,male,489746.0
1960,BEN,15-64,female,741262.0
1960,BEN,15-64,male,639794.0
1960,BEN,65+,female,88275.0
1960,BEN,65+,male,62764.0
1960,BTN,0-14,female,46687.0
1960,BTN,0-14,male,48004.0
1960,BTN,15-64,female,58712.0
1960,BTN,15-64,male,65235.0
1960,BTN,65+,female,2791.0
1960,BTN,65+,male,2655.0
1960,BOL,0-14,female,747256.0
1960,BOL,0-14,male,754119.0
1960,BOL,15-64,female,1026317.0
1960,BOL,15-64,male,985483.0
1960,BOL,65+,female,105417.0
1960,BOL,65+,male,83730.0
1960,BIH,0-14,female,634680.0
1960,BIH,0-14,male,617666.0
1960,BIH,15-64,female,1026994.0
1960,BIH,15-64,male,888281.0
1960,BIH,65+,female,68181.0
1960,BIH,65+,male,45578.0
1960,BWA,0-14,female,116032.0
1960,BWA,0-14,male,116501.0
1960,BWA,15-64,female,137958.0
1960,BWA,15-64,male,123454.0
1960,BWA,65+,female,13957.0
1960,BWA,65+,male,8263.0
1960,BRA,0-14,female,15888955.0
1960,BRA,0-14,male,16096454.0
1960,BRA,15-64,female,19247998.0
1960,BRA,15-64,male,19324742.0
1960,BRA,65+,female,963082.0
1960,BRA,65+,male,866895.0
1960,BGR,0-14,female,1005383.0
1960,BGR,0-14,male,1046683.0
1960,BGR,15-64,female,2607101.0
1960,BGR,15-64,male,2621996.0
1960,BGR,65+,female,326530.0
1960,BGR,65+,male,259681.0
1960,BFA,0-14,female,946510.0
1960,BFA,0-14,male,957957.0
1960,BFA,15-64,female,1344442.0
1960,BFA,15-64,male,1403520.0
1960,BFA,65+,female,56830.0
1960,BFA,65+,male,69363.0
1960,BDI,0-14,female,626162.0
1960,BDI,0-14,male,621821.0
1960,BDI,15-64,female,751258.0
1960,BDI,15-64,male,677737.0
1960,BDI,65+,female,50550.0
1960,BDI,65+,male,36730.0
1960,CPV,0-14,female,45383.0
1960,CPV,0-14,male,46247.0
1960,CPV,15-64,female,59351.0
1960,CPV,15-64,male,50252.0
1960,CPV,65+,female,6107.0
1960,CPV,65+,male,2684.0
1960,CMR,0-14,female,1024116.0
1960,CMR,0-14,male,1015888.0
1960,CMR,15-64,female,1501663.0
1960,CMR,15-64,male,1415449.0
1960,CMR,65+,female,111710.0
1960,CMR,65+,male,90230.0
1960,CAN,0-14,female,2955669.0
1960,CAN,0-14,male,3089310.0
1960,CAN,15-64,female,5193094.0
1960,CAN,15-64,male,5307215.0
1960,CAN,65+,female,699457.0
1960,CAN,65+,male,664611.0
1960,CAF,0-14,female,342782.0
1960,CAF,0-14,male,346285.0
1960,CAF,15-64,female,477514.0
