year,country_code,pop_density,net_migration,birth_rate,death_rate,rural_pop,urban_pop
1960,ABW,,-788.0,32.043,7.525,27035.0,27887.0
1960,AFE,,-102704.0,47.7110051011101,20.965803276721644,111111891.0,18960189.0
1960,AFG,,2606.0,50.516,31.672,8276009.0,759034.0
1960,AFW,,-759.0,47.52006511440919,26.44282691691184,83269407.0,14361518.0
1960,AGO,,-40935.0,51.615,27.055,4685731.0,545923.0
1960,ALB,,13734.0,41.022,15.888,1114818.0,493982.0
1960,AND,,639.0,19.38,7.066,3951.0,5559.0
1960,ARB,,-78553.0,47.82721112390114,21.35047832514735,63153544.0,28387309.0
1960,ARE,,3102.0,39.919,13.891,34804.0,96530.0
1960,ARG,,20387.0,24.152,8.654,5379673.0,15006372.0
1960,ARM,,11827.0,41.197,13.47,908090.0,955615.0
1960,ASM,,-257.0,41.474,6.687,6803.0,13330.0
1960,ATG,,-351.0,34.962,9.155,33553.0,22050.0
1960,AUS,,85707.0,22.4,8.6,1898168.0,8378309.0
1960,AUT,,-1732.0,17.9,12.7,2486372.0,4561167.0
1960,AZE,,-148.0,47.791,14.929,1843539.0,2050961.0
1960,BDI,,-14620.0,46.891,21.556,2706844.0,57414.0
1960,BEL,,9893.0,16.8,12.4,690173.0,8463316.0
1960,BEN,,-4722.0,45.759,28.056,2283808.0,233478.0
1960,BFA,,-23220.0,46.197,26.933,4554026.0,224595.0
1960,BGD,,13580.0,48.999,21.624,49167258.0,2661402.0
1960,BGR,,-1112.0,17.8,8.1,4948578.0,2918796.0
1960,BHR,,1266.0,49.599,16.281,29256.0,136221.0
1960,BHS,,2290.0,37.504,8.695,46862.0,69455.0
1960,BIH,,-6481.0,34.617,11.2,2656606.0,624775.0
1960,BLR,,-27382.0,24.389,7.751,5541766.0,2656234.0
1960,BLZ,,-577.0,44.552,12.764,41981.0,49337.0
1960,BMU,,-57.0,26.214,8.619,0.0,42208.0
1960,BOL,,-3144.0,43.906,22.703,2341275.0,1361048.0
1960,BRA,,4066.0,43.85,13.591,38988969.0,33399157.0
1960,BRB,,-3315.0,34.987,9.222,145977.0,84916.0
1960,BRN,,982.0,47.234,11.37,50004.0,38343.0
1960,BTN,,1481.0,48.763,26.952,216026.0,8058.0
1960,BWA,,-4331.0,47.14,16.412,500370.0,15795.0
1960,CAF,,474.0,43.533,25.246,1360174.0,342172.0
1960,CAN,,49694.0,26.7,7.8,5540976.0,12368380.0
1960,CEB,,-58018.0,19.11743370839101,8.632179424896002,50720764.0,40681000.0
1960,CHE,,22313.0,17.7,9.8,1549119.0,3778708.0
1960,CHI,,385.0,15.4,11.2,67925.0,42883.0
1960,CHL,,-27184.0,35.309,10.968,2622443.0,5530907.0
1960,CHN,,-16927.0,20.86,25.43,558984648.0,108085352.0
1960,CIV,,31307.0,54.648,27.514,3024199.0,649467.0
1960,CMR,,0.0,43.806,28.697,4440039.0,719018.0
1960,COD,,27673.0,47.063,23.249,11860785.0,3404061.0
1960,COG,,0.0,43.5,17.86,722794.0,333938.0
1960,COL,,-49115.0,45.881,11.964,8385528.0,7220681.0
1960,COM,,-1406.0,49.392,24.677,172887.0,24813.0
1960,CPV,,-2267.0,47.926,18.891,174994.0,35030.0
1960,CRI,,910.0,45.467,8.663,872776.0,454720.0
1960,CSS,,-13827.0,42.3711403170879,11.517444022866748,1089626.0,623779.0
1960,CUB,,-25396.0,32.789,8.913,3010969.0,4227112.0
1960,CUW,,-1530.0,34.728,8.0,31568.0,93258.0
1960,CYM,,-24.0,35.741,14.457,0.0,8428.0
1960,CYP,,3766.0,24.679,10.381,377535.0,208955.0
1960,CZE,,2748.0,13.4,9.8,3884203.0,5717803.0
1960,DEU,,212666.0,17.3,12.0,20836712.0,51978188.0
1960,DJI,,886.0,46.897,20.175,42732.0,43292.0
1960,DMA,,-759.0,42.226,13.269,36902.0,22470.0
1960,DNK,,-4047.0,16.6,9.5,1205031.0,3374572.0
1960,DOM,,-13344.0,52.019,16.115,2281593.0,986743.0
1960,DZA,,-55212.0,49.01,23.576,7939178.0,3485744.0
1960,EAP,,-102382.0,26.6406020079065,22.90553682780701,744085644.0,151875891.0
1960,EAR,,46031.0,44.36209378696101,18.80935719690068,747237608.0,221671748.0
1960,EAS,,-40790.0,26.30847611114888,20.880627744224785,806878185.0,235960266.0
1960,ECA,,207619.0,32.6022592049538,12.24862242684796,78354391.0,49471214.0
