year,country_code,pop_ages,gender,number
1960,AFE,0-14,female,28506657.0
1960,AFE,0-14,male,28714937.0
1960,AFE,15-64,female,34993426.0
1960,AFE,15-64,male,33973181.0
1960,AFE,65+,female,2162479.0
1960,AFE,65+,male,1721408.0
1960,AFW,0-14,female,20310607.0
1960,AFW,0-14,male,20212956.0
1960,AFW,15-64,female,27096257.0
1960,AFW,15-64,male,26773691.0
1960,AFW,65+,female,1768547.0
1960,AFW,65+,male,1468865.0
1960,ARB,0-14,female,19490694.0
1960,ARB,0-14,male,20257406.0
1960,ARB,15-64,female,24323419.0
1960,ARB,15-64,male,24284541.0
1960,ARB,65+,female,1739765.0
1960,ARB,65+,male,1445036.0
1960,CSS,0-14,female,378142.0
1960,CSS,0-14,male,384369.0
1960,CSS,15-64,female,454352.0
1960,CSS,15-64,male,426498.0
1960,CSS,65+,female,42709.0
1960,CSS,65+,male,27339.0
1960,CEB,0-14,female,13000766.0
1960,CEB,0-14,male,13445897.0
1960,CEB,15-64,female,30279529.0
1960,CEB,15-64,male,28036684.0
1960,CEB,65+,female,4006096.0
1960,CEB,65+,male,2632794.0
1960,EAR,0-14,female,196576555.0
1960,EAR,0-14,male,205556709.0
1960,EAR,15-64,female,261418797.0
1960,EAR,15-64,male,274075353.0
1960,EAR,65+,female,16116714.0
1960,EAR,65+,male,15165237.0
1960,EAS,0-14,female,202028551.0
1960,EAS,0-14,male,211731427.0
1960,EAS,15-64,female,289871860.0
1960,EAS,15-64,male,298338779.0
1960,EAS,65+,female,23463216.0
1960,EAS,65+,male,17404617.0
1960,EAP,0-14,female,177956882.0
1960,EAP,0-14,male,186743564.0
1960,EAP,15-64,female,244076598.0
1960,EAP,15-64,male,253928306.0
1960,EAP,65+,female,19065277.0
1960,EAP,65+,male,14190907.0
1960,TEA,0-14,female,175773258.0
1960,TEA,0-14,male,184539692.0
1960,TEA,15-64,female,240092801.0
1960,TEA,15-64,male,250974687.0
1960,TEA,65+,female,18818227.0
1960,TEA,65+,male,14053850.0
1960,EMU,0-14,female,33225111.0
1960,EMU,0-14,male,34688510.0
1960,EMU,15-64,female,91145698.0
1960,EMU,15-64,male,83721959.0
1960,EMU,65+,female,16340753.0
1960,EMU,65+,male,11026939.0
1960,ECS,0-14,female,91946933.0
1960,ECS,0-14,male,95803568.0
1960,ECS,15-64,female,225060512.0
1960,ECS,15-64,male,199100597.0
1960,ECS,65+,female,34325208.0
1960,ECS,65+,male,21650988.0
1960,ECA,0-14,female,21473279.0
1960,ECA,0-14,male,22369347.0
1960,ECA,15-64,female,41710397.0
1960,ECA,15-64,male,35647506.0
1960,ECA,65+,female,4684496.0
1960,ECA,65+,male,2925424.0
1960,TEC,0-14,female,48409504.0
1960,TEC,0-14,male,50257332.0
1960,TEC,15-64,female,104483784.0
1960,TEC,15-64,male,86961902.0
1960,TEC,65+,female,12050509.0
1960,TEC,65+,male,6596326.0
1960,EUU,0-14,female,45460802.0
1960,EUU,0-14,male,47397925.0
1960,EUU,15-64,female,119849442.0
1960,EUU,15-64,male,110906935.0
1960,EUU,65+,female,20282528.0
1960,EUU,65+,male,13813301.0
1960,FCS,0-14,female,48086438.0
1960,FCS,0-14,male,48567724.0
1960,FCS,15-64,female,72056618.0
1960,FCS,15-64,male,67144064.0
1960,FCS,65+,female,5692498.0
1960,FCS,65+,male,3899140.0
1960,HPC,0-14,female,35267394.0
1960,HPC,0-14,male,35356128.0
1960,HPC,15-64,female,44617101.0
1960,HPC,15-64,male,43447127.0
1960,HPC,65+,female,2733522.0
1960,HPC,65+,male,2229258.0
1960,HIC,0-14,female,129810685.0
1960,HIC,0-14,male,134451220.0
1960,HIC,15-64,female,295796273.0
1960,HIC,15-64,male,272637714.0
1960,HIC,65+,female,44065572.0
1960,HIC,65+,male,30188623.0
1960,IBD,0-14,female,366876606.0
1960,IBD,0-14,male,384508473.0
1960,IBD,15-64,female,532744768.0
1960,IBD,15-64,male,535088322.0
1960,IBD,65+,female,42662168.0
1960,IBD,65+,male,31820636.0
1960,IBT,0-14,female,449904541.0
1960,IBT,0-14,male,468894188.0
1960,IBT,15-64,female,639052872.0
1960,IBT,15-64,male,644500130.0
1960,IBT,65+,female,49098790.0
1960,IBT,65+,male,37737847.0
1960,IDB,0-14,female,25012109.0
1960,IDB,0-14,male,25529110.0
1960,IDB,15-64,female,32086267.0
1960,IDB,15-64,male,34392639.0
1960,IDB,65+,female,1909106.0
1960,IDB,65+,male,1872568.0
1960,IDX,0-14,female,58015826.0
1960,IDX,0-14,male,58856605.0
1960,IDX,15-64,female,74221837.0
1960,IDX,15-64,male,75019169.0
1960,IDX,65+,female,4527516.0
1960,IDX,65+,male,4044643.0
1960,IDA,0-14,female,83027935.0
1960,IDA,0-14,male,84385715.0
1960,IDA,15-64,female,106308104.0
1960,IDA,15-64,male,109411808.0
1960,IDA,65+,female,6436622.0
1960,IDA,65+,male,5917211.0
