region_name,region_code,country_name,country_code,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,mean,median,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,reporting_pop,reporting_pce,distribution_type,spl
Sub-Saharan Africa,SSA,Angola,AGO,national,HBS,national,2000,consumption,0,2000,2.15,0.213605659674,0.090902769337,0.052686230261,7.388854270322,4.673318175877,0.519447177794,0.009912799103,0.021986918901,0.03341610857,0.045094763699,0.056465896952,0.070481835704,0.088172284759,0.113397363605,0.159391212433,0.401680816274,16509042,,micro,3.486659087938
Sub-Saharan Africa,SSA,Angola,AGO,national,IBEP-MICS,national,2008,consumption,1,2008,2.15,0.145896882676,0.040396380985,0.016466020402,6.526025242888,4.703099810972,0.427155149878,0.020722704667,0.033564171517,0.043176167923,0.053027305776,0.065425990436,0.07923758155,0.096511887757,0.122976103307,0.162341588705,0.323016498362,22099598,1201.3110922354,micro,3.501549905486
Sub-Saharan Africa,SSA,Angola,AGO,national,IDREA,national,2018,consumption,2,2018,2.15,0.311220062314,0.11919143728,0.062310130094,5.482368049234,3.42050223773,0.512639915479,0.013348494052,0.02428155828,0.033329454749,0.04343712694,0.055829007432,0.069808939273,0.088692860198,0.11567589176,0.159380080037,0.396216587278,31457142,1495.34059467995,micro,2.860251118865
Europe & Central Asia,ECA,Albania,ALB,national,EWS,national,1996,consumption,0,1996,2.15,0.005348460357,0.000982145368,0.000304759078,7.933157550406,6.972102629133,0.270103419751,0.038817883466,0.052792297005,0.063706566514,0.075240257439,0.083462238153,0.092457305123,0.107789612861,0.126116176356,0.152507706392,0.207109956691,3168033,1716.33680111076,micro,4.636051314566
Europe & Central Asia,ECA,Albania,ALB,national,LSMS,national,2002,consumption,1,2002 - 2012,2.15,0.010926473904,0.001894348649,0.000594229855,8.108228791612,6.688141410712,0.317389798335,0.03523453383,0.048484450621,0.058520715358,0.067376298306,0.076407873319,0.088384438922,0.102324653414,0.119868981708,0.149999215591,0.253398838931,3051010,1685.20307823169,micro,4.494070705356
Europe & Central Asia,ECA,Albania,ALB,national,LSMS,national,2005,consumption,1,2002 - 2012,2.15,0.005910856841,0.000897233491,0.000228511914,9.165974569466,7.799791172148,0.305956557281,0.034870461608,0.049362953423,0.059658204008,0.06935465629,0.079654226763,0.090390907976,0.104065136108,0.121028738588,0.148298449437,0.243316265798,3011487,2079.20347462531,micro,5.049895586074
Europe & Central Asia,ECA,Albania,ALB,national,LSMS,national,2008,consumption,1,2002 - 2012,2.15,0.001999251462,0.000396410989,8.6903135e-05,10.038169339119,8.40019967359,0.299846704223,0.037382980864,0.051433949416,0.06098501954,0.069847255057,0.079011325561,0.089379472656,0.102883019772,0.119204651405,0.145468019414,0.244404306315,2947314,2820.27951343061,micro,5.350099836795
Europe & Central Asia,ECA,Albania,ALB,national,LSMS,national,2012,consumption,1,2002 - 2012,2.15,0.006206908872,0.001308925386,0.00045241814,9.517231461151,8.24038496489,0.289604845586,0.036604352903,0.05192535994,0.06146082609,0.070334993378,0.080799744944,0.092617752259,0.105133410116,0.122924903997,0.148902113141,0.229296543231,2900401,2990.3965980158,micro,5.270192482445
Europe & Central Asia,ECA,Albania,ALB,national,HBS,national,2014,consumption,2,2014 - 2017,2.15,0.01023100774,0.001387079266,0.000267282302,10.141309877656,8.295375495927,0.345988964668,0.028540807069,0.041743442246,0.052298414672,0.063048669594,0.075132675589,0.089338199414,0.105912036203,0.127275531103,0.161268536997,0.255441687113,2889104,3143.25412532029,micro,5.297687747964
Europe & Central Asia,ECA,Albania,ALB,national,HBS,national,2015,consumption,2,2014 - 2017,2.15,0.000960674939,4.0287015e-05,2.737962e-06,12.245265077136,10.04312575048,0.327537317764,0.031547363603,0.045467807624,0.055666923442,0.065791515741,0.076198266328,0.088866304853,0.104759011687,0.125259420386,0.158704782985,0.247738603351,2880703,3189.70532584876,micro,6.17156287524
Europe & Central Asia,ECA,Albania,ALB,national,HBS,national,2016,consumption,2,2014 - 2017,2.15,0.001393031662,0.000106380995,1.3764967e-05,12.53200741202,10.274922603872,0.337362987161,0.029695862687,0.043512687517,0.054228763657,0.064288082889,0.075197730428,0.0889670339,0.105207039694,0.127040351202,0.161402136552,0.250460311474,2876101,3262.75695885257,micro,6.287461301936
Europe & Central Asia,ECA,Albania,ALB,national,SILC-C,national,2016,income,4,2016 - 2018,2.15,0.057951017798,0.022142577509,0.011332282899,9.944764600636,8.13432308419,0.385655960951,0.018382586195,0.034852513987,0.047918276773,0.060813789241,0.073589778764,0.088671519795,0.105685451606,0.129208158919,0.166303150401,0.274574774319,2876101,3262.75695885257,micro,5.217161542095
Europe & Central Asia,ECA,Albania,ALB,national,HBS,national,2017,consumption,2,2014 - 2017,2.15,0.003925699344,0.000388034422,5.4874231e-05,12.411218948203,10.187668779844,0.330556627407,0.030917738243,0.044587989906,0.05479103517,0.065082411437,0.076048935567,0.089085788241,0.10544002958,0.127174153392,0.160816011147,0.246055907316,2873457,3345.55624537542,micro,6.243834389922
Europe & Central Asia,ECA,Albania,ALB,national,SILC-C,national,2017,income,4,2016 - 2018,2.15,0.052648060214,0.017958083235,0.00875427758,10.411014391968,8.704905448837,0.370951266866,0.018980408536,0.036448518775,0.05009209566,0.063295776352,0.076485841442,0.090747059562,0.106507626353,0.129066837452,0.163898014246,0.264477821621,2873457,3345.55624537542,micro,5.502452724418
Europe & Central Asia,ECA,Albania,ALB,national,HBS,national,2018,consumption,3,2018 - 2020,2.15,0.000481070476,5.6359287e-05,6.735117e-06,13.31650707986,11.639976154611,0.301482817366,0.03170735814,0.04767776553,0.059737454217,0.070730734084,0.081340950257,0.093449785837,0.107498982472,0.12595946171,0.154551693206,0.227345814547,2866376,3461.66437422341,micro,6.969988077306
