country_code,survey_year,survey_acronym,survey_coverage,reporting_level,name,value
ALB,2019,HBS,national,national,decile1,0.035359825851
ALB,2020,HBS,national,national,decile1,0.034180198398
ARE,2013,HIES,national,national,decile1,0.023497326715
ARE,2018,HIES,national,national,decile1,0.028349685726
ARG,1980,EPH,urban,urban,decile1,0.020098563654
ARG,1986,EPH,urban,urban,decile1,0.017773314403
ARG,1987,EPH,urban,urban,decile1,0.015682231592
ARG,1991,EPH,urban,urban,decile1,0.017506222393
AUT,2000,ECHP-LIS,national,national,decile1,0.034945578332
AUT,2003,EU-SILC,national,national,decile1,0.033030120802
AUT,2004,EU-SILC,national,national,decile1,0.034279356351
AUT,2005,EU-SILC,national,national,decile1,0.034944506612
AUT,2006,EU-SILC,national,national,decile1,0.034095761645
AUT,2007,EU-SILC,national,national,decile1,0.030523142643
AUT,2008,EU-SILC,national,national,decile1,0.030074068308
AUT,2009,EU-SILC,national,national,decile1,0.028251473032
AUS,2016,SIH-HES-LIS,national,national,decile1,0.029122686477
AUS,2018,SIH-LIS,national,national,decile1,0.027646809207
AUT,1994,ECHP-LIS,national,national,decile1,0.031459632254
AUT,1995,ECHP-LIS,national,national,decile1,0.032714570508
AUT,1996,ECHP-LIS,national,national,decile1,0.035086718358
AUT,1997,ECHP-LIS,national,national,decile1,0.033649691159
AUT,1998,ECHP-LIS,national,national,decile1,0.03299687455
AUT,1999,ECHP-LIS,national,national,decile1,0.035933506538
AUS,1989,SIHCA-LIS,national,national,decile1,0.02723261092
AUS,1995,SIH-LIS,national,national,decile1,0.029419698164
AUS,2001,SIH-LIS,national,national,decile1,0.0283778516
AUS,2003,SIH-LIS,national,national,decile1,0.028075720396
AUS,2004,SIH-HES-LIS,national,national,decile1,0.030986939162
AUS,2008,SIH-LIS,national,national,decile1,0.028014352433
AUS,2010,SIH-HES-LIS,national,national,decile1,0.02750866248
AUS,2014,SIH-LIS,national,national,decile1,0.029329559365
AZE,2004,HBS,national,national,decile1,0.047993988085
AZE,2005,HBS,national,national,decile1,0.048477501263
BDI,1992,EDCM,national,national,decile1,0.034137463895
BDI,1998,EP,national,national,decile1,0.019130418459
BDI,2006,QUIBB,national,national,decile1,0.040130700715
BDI,2013,ECVMB,national,national,decile1,0.027638253438
BDI,2020,EICVMB,national,national,decile1,0.028761088979
BEL,1985,SEP-LIS,national,national,decile1,0.041522921167
AUT,2018,EU-SILC,national,national,decile1,0.029529680929
AUT,2019,EU-SILC,national,national,decile1,0.028982424612
AUT,2020,EU-SILC,national,national,decile1,0.028515489763
AUT,2021,EU-SILC,national,national,decile1,0.027646330545
AZE,1995,SLC,national,national,decile1,0.027118004131
AZE,2001,HBS,national,national,decile1,0.030568906484
AZE,2002,HBS,national,national,decile1,0.048386017594
AZE,2003,HBS,national,national,decile1,0.044730098204
AUT,2010,EU-SILC,national,national,decile1,0.030837594051
AUT,2011,EU-SILC,national,national,decile1,0.029257317156
AUT,2012,EU-SILC,national,national,decile1,0.028480542772
AUT,2013,EU-SILC,national,national,decile1,0.031055540848
AUT,2014,EU-SILC,national,national,decile1,0.030973865208
AUT,2015,EU-SILC,national,national,decile1,0.029848094891
AUT,2016,EU-SILC,national,national,decile1,0.027919483437
AUT,2017,EU-SILC,national,national,decile1,0.030382012649
ARG,1992,EPH,urban,urban,decile1,0.016104108599
AGO,2008,IBEP-MICS,national,national,decile1,0.020722704667
AGO,2018,IDREA,national,national,decile1,0.013348494052
ALB,1996,EWS,national,national,decile1,0.038817883466
ALB,2002,LSMS,national,national,decile1,0.03523453383
ALB,2005,LSMS,national,national,decile1,0.034870461608
ALB,2008,LSMS,national,national,decile1,0.037382980864
ALB,2012,LSMS,national,national,decile1,0.036604352903
BGR,2008,EU-SILC,national,national,decile1,0.024237332431
BGR,2009,EU-SILC,national,national,decile1,0.023716101582
BGR,2010,EU-SILC,national,national,decile1,0.021083139585
