country_code,welfare_type,survey_acronym,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,gini,reporting_pop,reporting_pce,distribution_type,spl,survey_year,survey_coverage,reporting_level
AGO,consumption,HBS,0,2000,2.15,0.213605659674,0.090902769337,0.052686230261,0.519447177794,16509042,,micro,3.486659087938,2000,national,national
AGO,consumption,IBEP-MICS,1,2008,2.15,0.145896882676,0.040396380985,0.016466020402,0.427155149878,22099598,1201.3110922354,micro,3.501549905486,2008,national,national
AGO,consumption,IDREA,2,2018,2.15,0.311220062314,0.11919143728,0.062310130094,0.512639915479,31457142,1495.34059467995,micro,2.860251118865,2018,national,national
ALB,consumption,EWS,0,1996,2.15,0.005348460357,0.000982145368,0.000304759078,0.270103419751,3168033,1716.33680111076,micro,4.636051314566,1996,national,national
ALB,consumption,LSMS,1,2002 - 2012,2.15,0.010926473904,0.001894348649,0.000594229855,0.317389798335,3051010,1685.20307823169,micro,4.494070705356,2002,national,national
ALB,consumption,LSMS,1,2002 - 2012,2.15,0.005910856841,0.000897233491,0.000228511914,0.305956557281,3011487,2079.20347462531,micro,5.049895586074,2005,national,national
ALB,consumption,LSMS,1,2002 - 2012,2.15,0.001999251462,0.000396410989,8.6903135e-05,0.299846704223,2947314,2820.27951343061,micro,5.350099836795,2008,national,national
ALB,consumption,LSMS,1,2002 - 2012,2.15,0.006206908872,0.001308925386,0.00045241814,0.289604845586,2900401,2990.3965980158,micro,5.270192482445,2012,national,national
ALB,consumption,HBS,2,2014 - 2017,2.15,0.01023100774,0.001387079266,0.000267282302,0.345988964668,2889104,3143.25412532029,micro,5.297687747964,2014,national,national
ALB,consumption,HBS,2,2014 - 2017,2.15,0.000960674939,4.0287015e-05,2.737962e-06,0.327537317764,2880703,3189.70532584876,micro,6.17156287524,2015,national,national
ALB,consumption,HBS,2,2014 - 2017,2.15,0.001393031662,0.000106380995,1.3764967e-05,0.337362987161,2876101,3262.75695885257,micro,6.287461301936,2016,national,national
ALB,income,SILC-C,4,2016 - 2018,2.15,0.057951017798,0.022142577509,0.011332282899,0.385655960951,2876101,3262.75695885257,micro,5.217161542095,2016,national,national
