"country_name","avg_unemployment_rate","avg_gini_coefficient","avg_secondary_enrollment_rate","enrollment_category"
"Albania","12.73","0.32","93.44","High Enrollment"
"Algeria","20.90","0.31","81.60","High Enrollment"
"Angola",NULL,"0.47","17.59","Low Enrollment"
"Argentina","10.20","0.46","94.24","High Enrollment"
"Armenia","14.34","0.32","89.82","High Enrollment"
"Australia","6.51","0.34","145.19","High Enrollment"
"Austria","5.13","0.30","100.95","High Enrollment"
"Bangladesh","3.64","0.32","50.90","Moderate Enrollment"
"Belarus","2.74","0.27","99.44","High Enrollment"
"Belgium","7.69","0.28","149.94","High Enrollment"
"Belize","12.14","0.57","66.02","Moderate Enrollment"
"Benin","2.65","0.41","44.21","Low Enrollment"
"Bhutan","3.90","0.36","74.71","Moderate Enrollment"
"Bolivia","3.99","0.50","86.20","High Enrollment"
"Bosnia and Herzegovina","28.28","0.33","82.77","High Enrollment"
"Botswana","25.67","0.60","52.03","Moderate Enrollment"
"Brazil","9.81","0.53","98.67","High Enrollment"
"Bulgaria","9.68","0.35","96.31","High Enrollment"
"Burkina Faso","4.13","0.41","24.47","Low Enrollment"
"Burundi","2.11","0.36","25.49","Low Enrollment"
"Cabo Verde","31.31","0.47","76.61","Moderate Enrollment"
"Cameroon","4.33","0.43","42.23","Low Enrollment"
"Canada","8.07","0.33","102.13","High Enrollment"
"Central African Republic",NULL,"0.59","10.01","Low Enrollment"
"Chad","1.14","0.40","19.87","Low Enrollment"
"Chile","8.00","0.49","92.88","High Enrollment"
"China","3.28","0.33","60.10","Moderate Enrollment"
"Colombia","11.66","0.54","88.25","High Enrollment"
"Comoros","6.36","0.51","51.64","Moderate Enrollment"
"Congo, Dem. Rep.","4.49","0.42","40.06","Low Enrollment"
"Costa Rica","8.49","0.48","87.46","High Enrollment"
"Cote d'Ivoire",NULL,"0.38","49.33","Low Enrollment"
"Croatia","11.88","0.31","99.57","High Enrollment"
"Cyprus","8.73","0.32","96.79","High Enrollment"
"Czechia","5.15","0.26","99.19","High Enrollment"
"Denmark","5.93","0.27","124.12","High Enrollment"
"Dominican Republic","6.29","0.46","76.65","Moderate Enrollment"
"Ecuador","4.91","0.49","81.81","High Enrollment"
"Egypt, Arab Rep.","9.84","0.31","74.45","Moderate Enrollment"
"El Salvador","5.64","0.45","63.14","Moderate Enrollment"
"Estonia","8.89","0.33","105.37","High Enrollment"
"Eswatini","22.72","0.54","58.25","Moderate Enrollment"
"Ethiopia","3.71","0.35","22.58","Low Enrollment"
"Fiji","8.94","0.36","81.80","High Enrollment"
"Finland","8.59","0.27","126.83","High Enrollment"
"France","9.22","0.32","103.36","High Enrollment"
"Gambia, The",NULL,"0.44","48.53","Low Enrollment"
"Georgia","13.29","0.37","97.51","High Enrollment"
"Germany","7.18","0.30","102.03","High Enrollment"
"Ghana",NULL,"0.43","54.03","Moderate Enrollment"
"Greece","16.62","0.35","101.45","High Enrollment"
"Guatemala","2.31","0.52","37.98","Low Enrollment"
"Guinea","4.55","0.39","23.89","Low Enrollment"
"Honduras","5.42","0.52","52.97","Moderate Enrollment"
"Hungary","7.16","0.30","99.05","High Enrollment"
"Iceland","4.43","0.28","112.51","High Enrollment"
"India","7.10","0.34","69.56","Moderate Enrollment"
"Indonesia","5.11","0.34","73.43","Moderate Enrollment"
"Iran, Islamic Rep.","11.56","0.38","82.70","High Enrollment"
"Ireland","8.82","0.33","117.07","High Enrollment"
"Israel","7.90","0.40","95.47","High Enrollment"
"Italy","9.45","0.34","91.20","High Enrollment"
"Jamaica","13.16","0.42","77.92","Moderate Enrollment"
"Japan","4.04","0.33","101.78","High Enrollment"
"Jordan","13.56","0.36","84.28","High Enrollment"
"Kazakhstan","5.00","0.28","99.79","High Enrollment"
"Kenya","9.96","0.46","47.16","Low Enrollment"
"Korea, Rep.","3.44","0.33","97.92","High Enrollment"
"Kyrgyz Republic","6.79","0.30","87.54","High Enrollment"
"Lao PDR",NULL,"0.35","40.82","Low Enrollment"
"Latvia","11.49","0.35","101.63","High Enrollment"
"Lesotho","10.00","0.54","35.17","Low Enrollment"
"Liberia","2.08","0.33","37.14","Low Enrollment"
"Lithuania","10.68","0.35","101.75","High Enrollment"
"Luxembourg","4.12","0.31","93.86","High Enrollment"
"Madagascar","1.61","0.41","28.67","Low Enrollment"
"Malawi",NULL,"0.42","34.54","Low Enrollment"
"Malaysia","4.03","0.45","75.68","Moderate Enrollment"
"Maldives","4.56","0.35","66.11","Moderate Enrollment"
"Mali","1.62","0.40","27.22","Low Enrollment"
"Malta","5.45","0.29","99.43","High Enrollment"
"Marshall Islands","6.34","0.35","110.42","High Enrollment"
"Mauritania","10.42","0.38","22.02","Low Enrollment"
"Mauritius","7.75","0.37","90.45","High Enrollment"
"Mexico","3.96","0.50","82.64","High Enrollment"
"Moldova","1.43","0.26","99.72","High Enrollment"
"Mongolia","5.92","0.32","79.55","Moderate Enrollment"
"Montenegro","18.74","0.34","92.72","High Enrollment"
"Morocco","14.54","0.40","41.23","Low Enrollment"
"Mozambique",NULL,"0.49","23.98","Low Enrollment"
