"country_name","urban_population","gross_domestic_product","net_migration","urbanization_rate","migration_trend"
"Nauru","11875","154170289.32186","-148.000","100.00000","Net Outflux"
"Qatar","2638874","213002809330.26700","39995.000","99.35400","Net Influx"
"Belgium","11573953","644782756682.75600","41679.000","98.18900","Net Influx"
"Uruguay","3244799","77240830877.45970","-1501.000","95.77100","Net Outflux"
"Malta","524784","22328640241.55530","6591.000","94.94109","Net Influx"
"Iceland","369913","31325116556.38070","4630.000","94.04193","Net Influx"
"Netherlands","16657719","1154361305398.06000","144558.000","93.17900","Net Influx"
"Israel","9059393","513611100815.69100","9999.000","92.85400","Net Influx"
"Argentina","42106172","646075277525.12500","4133.000","92.46300","Net Influx"
"Luxembourg","613635","85755006123.59760","5905.000","92.07794","Net Influx"
"Japan","114608860","4204494802431.55000","175003.000","92.04300","Net Influx"
"Jordan","10526364","50967475352.11270","-17445.000","92.02000","Net Outflux"
"Gabon","2261879","19388402541.66980","987.000","91.02902","Net Influx"
"Lebanon","5127646","20992421948.80810","-27507.000","89.26200","Net Outflux"
"Sweden","9349997","584960475767.32000","55209.000","88.73800","Net Influx"
"Denmark","5262755","407091920305.40400","31006.000","88.49500","Net Influx"
"Venezuela, RB","26667155","482359318767.70300","-62437.000","88.14400","Net Outflux"
"Chile","17302134","335533331669.21900","62679.000","88.01200","Net Influx"
"Brazil","185356223","2173665655937.27000","-240059.000","87.78800","Net Outflux"
"United Arab Emirates","9202532","514130432653.08100","300004.000","87.77900","Net Influx"
"Australia","23091181","1728057316695.61000","140232.000","86.61700","Net Influx"
"Finland","4789488","295532341254.90700","38156.000","85.77300","Net Influx"
"United Kingdom","57852807","3380854520809.54000","445523.000","84.64200","Net Influx"
"Dominican Republic","9568800","121444279313.93100","-34915.000","84.44600","Net Outflux"
"Norway","4636183","485310823603.66200","53806.000","83.99500","Net Influx"
"United States","278977409","27720709000000.00000","1322668.000","83.29800","Net Influx"
"Costa Rica","4218287","86497941439.01740","995.000","82.62200","Net Influx"
"Colombia","43088562","363493841244.30300","154521.000","82.35400","Net Influx"
"Canada","32824829","2142470914401.36000","433842.000","81.86200","Net Influx"
"France","55843458","3051831611384.76000","91862.000","81.77700","Net Influx"
"Mexico","105844290","1789114434843.46000","-101044.000","81.58200","Net Outflux"
"Spain","39428688","1620090734956.89000","119099.000","81.55200","Net Influx"
"Korea, Rep.","42123031","1712792854202.37000","87800.000","81.45600","Net Influx"
"Belarus","7409732","71857382745.60660","-3034.000","80.73100","Net Outflux"
"Greece","8394500","243498333237.80200","-159430.000","80.67300","Net Outflux"
"Peru","26711638","267603248655.25300","24783.000","78.92200","Net Influx"
"Marshall Islands","30622","259300000.00000","-1832.000","78.86780","Net Outflux"
"Malaysia","27650017","399705169318.47700","181071.000","78.71600","Net Influx"
"Djibouti","905661","4098530513.55777","500.000","78.55204","Net Influx"
"Germany","64762692","4525703903627.53000","609553.000","77.76500","Net Influx"
"West Bank and Gaza","4007712","17420800000.00000","-24996.000","77.58201","Net Outflux"
"Turkiye","66096052","1118252964260.77000","-318070.000","77.46300","Net Outflux"
"Iran, Islamic Rep.","70001569","404625655204.61900","262044.000","77.25700","Net Influx"
"Bulgaria","4944604","102407653020.60600","5173.000","76.70101","Net Influx"
"Sao Tome and Principe","176388","678976264.83544","-592.000","76.40111","Net Outflux"
"El Salvador","4757015","34015620000.00000","-23253.000","75.39300","Net Outflux"
"Russian Federation","108345662","2021421476035.42000","27807.000","75.33100","Net Influx"
"Algeria","34746884","247626161016.41400","-25963.000","75.26800","Net Outflux"
"Czechia","8099361","343207874553.73400","-14638.000","74.55200","Net Outflux"
"Switzerland","6595143","884940402230.40900","45098.000","74.20200","Net Influx"
"Botswana","1807279","19396084498.00840","-6487.000","72.86698","Net Outflux"
"Hungary","6989250","212388906458.72400","49213.000","72.86400","Net Influx"
"Italy","42459374","2300941152991.81000","150189.000","71.97300","Net Influx"
"Iraq","32272568","250842782139.46400","-5710.000","71.59900","Net Outflux"
"Bolivia","8716127","45135398008.81660","-3008.000","71.18600","Net Outflux"
"Tunisia","8606672","48529595416.65330","-14001.000","70.54400","Net Outflux"
