"country_name","avg_primary_enrollment_rate","avg_health_expenditure","avg_poverty_rate","education_health_index","poverty_category"
"United States","99.2321000000","16.7911434200","0.0099939106","1666.2204229678","Low Poverty"
"Japan","99.9991200000","10.6743869800","0.0072788789","1067.4293045395","Low Poverty"
"Germany","99.6490507692","10.4918462300","0.0000000000","1045.5025176362","Low Poverty"
"Austria","99.9048014286","10.2599823814","0.0048950554","1025.0215024773","Low Poverty"
"Maldives","98.8576000000","10.3054456700","0.0000000000","1018.7716258666","Low Poverty"
"Switzerland","99.8389785714","10.1379464029","0.0002674577","1012.1622136732","Low Poverty"
"West Bank and Gaza","98.5018514286","10.2413454043","0.0046588248","1008.7914834416","Low Poverty"
"Denmark","99.1815676923","9.9652648338","0.0018106700","988.3705886899","Low Poverty"
"United Kingdom","99.9811100000","9.7654695500","0.0024917286","976.3624852802","Low Poverty"
"Sweden","99.8516806667","9.1801991153","0.0046949907","916.6583105207","Low Poverty"
"Serbia","99.5679507692","9.0562263638","0.0292275216","901.7099007504","Low Poverty"
"Spain","99.5960683333","8.9525558183","0.0087446448","891.6393610407","Low Poverty"
"Finland","99.9180320000","8.7873506547","0.0005447809","878.0147839082","Low Poverty"
"Norway","99.7891133333","8.7940231007","0.0016918078","877.5477678484","Low Poverty"
"Moldova","98.3211933333","8.9006911117","0.0535517702","875.1265715905","Low Poverty"
"Iceland","99.7405222222","8.7390094344","0.0009613203","871.6333646964","Low Poverty"
"Sierra Leone","79.2887400000","10.7675380700","0.3869812928","853.7445264723","Low Poverty"
"Namibia","94.0822300000","9.0496702200","0.2694402986","851.4131550622","Low Poverty"
"Italy","99.8162968750","8.4704948056","0.0109528097","845.4934241964","Low Poverty"
"Greece","98.6344850000","8.5629492290","0.0099626741","844.6020872836","Low Poverty"
"Montenegro","98.7659566667","8.5458238933","0.0237720289","844.0364723299","Low Poverty"
"Malta","98.3647700000","8.5780391689","0.0018345725","843.7768498987","Low Poverty"
"Slovenia","99.7052430000","8.4451702120","0.0000620220","842.0277481638","Low Poverty"
"Jordan","99.0822500000","8.3760517433","0.0010897428","829.9180528459","Low Poverty"
"Argentina","96.5688212500","8.5519673531","0.0305200419","825.8534066598","Low Poverty"
"Brazil","96.6752400000","8.4784990967","0.1246222806","819.6609350100","Low Poverty"
"El Salvador","94.9717743750","8.5784223075","0.0696242206","814.7079878814","Low Poverty"
"Armenia","98.6320733333","8.1973366725","0.0303256117","808.5203118200","Low Poverty"
"Lebanon","96.3461400000","8.1774444600","0.0000000000","787.8652087854","Low Poverty"
"North Macedonia","98.9464800000","7.9033933888","0.0227178742","782.0129558721","Low Poverty"
"Georgia","99.2198368750","7.7926589856","0.1184440677","773.1863533762","Low Poverty"
"South Africa","97.2979700000","7.8713655500","0.2049255721","765.8678891429","Low Poverty"
"Croatia","99.4910860000","7.5494681850","0.0039380078","751.1047884481","Low Poverty"
"Liberia","79.5037200000","9.3239922550","0.2677425512","741.2920695237","Low Poverty"
"Hungary","99.6867330000","7.3793939125","0.0022461297","735.6276706572","Low Poverty"
"Chile","97.4293300000","7.5421319000","0.0061675832","734.8248577886","Low Poverty"
"Timor-Leste","94.3210800000","7.6048374200","0.2444307714","717.2964786788","Low Poverty"
"Slovak Republic","99.3955433333","7.0976444867","0.0031005876","705.4742301391","Low Poverty"
"Uruguay","82.6354060000","8.5314427870","0.0059475828","704.9992384695","Low Poverty"
"Czechia","99.6353728571","6.9355294021","0.0002859739","691.0240579442","Low Poverty"
"Israel","99.8419100000","6.9046892506","0.0042180643","689.3773627389","Low Poverty"
"Bulgaria","98.5397014286","6.9422127864","0.0212785844","684.0835752283","Low Poverty"
"Ukraine","98.8111230769","6.8117804531","0.0008951118","673.0796767220","Low Poverty"
"Burundi","77.2324800000","8.6283464400","0.6513289285","666.3885938604","Low Poverty"
"Costa Rica","90.4641862500","7.3020116394","0.0263866208","660.5705409441","Low Poverty"
"Kyrgyz Republic","99.2832100000","6.6271064017","0.1062181308","657.9603965690","Low Poverty"
"Panama","94.7137255556","6.9029232667","0.0525894968","653.8015798101","Low Poverty"
"Botswana","97.7668300000","6.6652979900","0.2913940673","651.6450554877","Low Poverty"
"Colombia","98.2524227273","6.5816208236","0.1047589944","646.6601913945","Low Poverty"
"Albania","98.6917500000","6.3975906363","0.0169144565","631.3894156751","Low Poverty"
"Eswatini","93.2200933333","6.6876292200","0.4717961129","623.4214200671","Low Poverty"
"Cyprus","99.4749584615","6.2242945877","0.0004280467","619.1614455631","Low Poverty"
"Poland","99.6168030769","6.1974074288","0.0027410007","617.3659154268","Low Poverty"
