"country_name","survey_year","gini_coefficient","poverty_rate_percent","decile_1_income_share","decile_10_income_share","decile_inequality_category"
"South Africa",2014,"0.630","20.49","0.008573525679","0.50495580134","Very High Decile Gap"
"Namibia",2015,"0.591","15.62","0.009646066563","0.47242913996","Very High Decile Gap"
"Colombia",2022,"0.548","6.04","0.010330589598","0.435122753255","Very High Decile Gap"
"Eswatini",2016,"0.546","36.08","0.014073955549","0.427212374917","Very High Decile Gap"
"Botswana",2015,"0.533","15.43","0.015320982594","0.41473610241","Very High Decile Gap"
"Belize",1999,"0.532","19.56","0.009503460946","0.42421054796","Very High Decile Gap"
"Brazil",2022,"0.520","3.51","0.011958265359","0.409646153128","Very High Decile Gap"
"Zambia",2022,"0.515","64.35","0.014730372451","0.390858333075","Very High Decile Gap"
"Angola",2018,"0.513","31.12","0.013348494052","0.396216587278","Very High Decile Gap"
"Mozambique",2019,"0.503","74.53","0.01713853006","0.411497822516","Very High Decile Gap"
"Zimbabwe",2019,"0.503","39.75",NULL,NULL,NULL
"Congo, Rep.",2011,"0.489","35.36","0.015615199918","0.379229463334","Very High Decile Gap"
"Panama",2023,"0.489","1.29","0.012338853117","0.368968689689","Very High Decile Gap"
"Guatemala",2014,"0.483","9.52","0.016724488743","0.380498065084","Very High Decile Gap"
"Honduras",2019,"0.482","12.74","0.012425365173","0.346429944856","High Decile Gap"
"Costa Rica",2023,"0.467","0.88","0.016389188622","0.35052569433","High Decile Gap"
"Nicaragua",2014,"0.462","3.94","0.019773414121","0.372127138786","Very High Decile Gap"
"Comoros",2014,"0.453","18.64","0.016172195878","0.336491870348","High Decile Gap"
"Paraguay",2022,"0.451","1.33","0.018306275961","0.353502869464","High Decile Gap"
"Guyana",1998,"0.450","11.90","0.011581804904","0.343943991139","High Decile Gap"
"Lesotho",2017,"0.449","32.40","0.017217261671","0.328901308095","High Decile Gap"
"Congo, Dem. Rep.",2020,"0.447","78.94","0.021275527415","0.356735915586","High Decile Gap"
"Venezuela, RB",2006,"0.447","7.13","0.01244405894","0.331681820914","High Decile Gap"
"Ecuador",2023,"0.446","3.80","0.016400917718","0.33178229764","High Decile Gap"
"Turkiye",2021,"0.444","0.44","0.019877943161","0.347313120594","High Decile Gap"
"South Sudan",2016,"0.441","67.33","0.017876683659","0.330163904934","High Decile Gap"
"Grenada",2018,"0.438","0.32","0.021278642925","0.336675342068","High Decile Gap"
"Rwanda",2016,"0.437","52.01","0.024365410568","0.356281700502","High Decile Gap"
"St. Lucia",2015,"0.437","0.08","0.020581018118","0.385837976334","Very High Decile Gap"
"St. Lucia",2015,"0.437","0.08","0.020581018118","0.340501217635","High Decile Gap"
"St. Lucia",2015,"0.437","0.08","0.009057327682","0.340501217635","High Decile Gap"
"St. Lucia",2015,"0.437","0.08","0.009057327682","0.385837976334","Very High Decile Gap"
"Ghana",2016,"0.435","25.21","0.016111592194","0.322061019996","High Decile Gap"
"Mexico",2022,"0.435","1.18","0.021238582452","0.344062182487","High Decile Gap"
"Central African Republic",2021,"0.430","65.67","0.021433231533","0.331394757893","High Decile Gap"
"Chile",2022,"0.430","0.40","0.022675310227","0.345208758525","High Decile Gap"
"Uganda",2019,"0.427","42.12","0.024282299853","0.345112149658","High Decile Gap"
"Madagascar",2012,"0.426","80.73","0.022232982403","0.334594315171","High Decile Gap"
"Cabo Verde",2015,"0.424","4.56","0.022185574175","0.322894447079","High Decile Gap"
"Cameroon",2021,"0.422","22.99","0.021266279862","0.311473744904","High Decile Gap"
"Papua New Guinea",2009,"0.419","39.68","0.018700223191","0.309908203941","High Decile Gap"
"Djibouti",2017,"0.416","19.08","0.019435788893","0.323092443909","High Decile Gap"
"United States",2022,"0.413","1.25","0.017624690257","0.302103633274","High Decile Gap"
"Haiti",2012,"0.411","29.19","0.007651800564","0.481039590021","Very High Decile Gap"
"Haiti",2012,"0.411","29.19","0.021032113622","0.481039590021","Very High Decile Gap"
"Haiti",2012,"0.411","29.19","0.007651800564","0.311966982597","High Decile Gap"
"Haiti",2012,"0.411","29.19","0.021032113622","0.311966982597","High Decile Gap"
"Bolivia",2021,"0.409","1.96","0.0177495485","0.302699341343","High Decile Gap"
"Turkmenistan",1998,"0.408","43.12","0.024039960065","0.314632182128","High Decile Gap"
"Sao Tome and Principe",2017,"0.407","15.72","0.025685132122","0.327994056906","High Decile Gap"
"Philippines",2021,"0.407","2.99","0.026775810056","0.294232117737","High Decile Gap"
"Philippines",2021,"0.407","2.99","0.029085592049","0.325040135741","High Decile Gap"
"Philippines",2021,"0.407","2.99","0.029085592049","0.294232117737","High Decile Gap"
"Philippines",2021,"0.407","2.99","0.026775810056","0.325040135741","High Decile Gap"
"Argentina",2022,"0.407","0.61","0.020077869286","0.298190811846","High Decile Gap"
"Malaysia",2021,"0.407","0.00","0.02345518604","0.309372331204","High Decile Gap"
"Uruguay",2022,"0.406","0.16","0.021621695282","0.305053271737","High Decile Gap"
"Tanzania",2017,"0.405","44.95","0.028751931767","0.331187818565","High Decile Gap"
"Peru",2022,"0.403","2.66","0.021119385982","0.307158273091","High Decile Gap"
"Trinidad and Tobago",1992,"0.402","1.34","0.021266844509","0.299220309529","High Decile Gap"
"Jamaica",2021,"0.402","0.31","0.021762364898","0.298697507919","High Decile Gap"
"Micronesia, Fed. Sts.",2013,"0.401","16.03","0.018741173741","0.297102393477","High Decile Gap"
"Morocco",2013,"0.395","1.44","0.027003710655","0.318836102822","High Decile Gap"
"Suriname",2022,"0.392","1.10","0.022069429084","0.300698149521","High Decile Gap"
"Tuvalu",2010,"0.391","3.63","0.02683662226","0.307698068104","High Decile Gap"
"Bulgaria",2021,"0.390","0.70","0.020073267937","0.2988824841","High Decile Gap"
"Gambia, The",2020,"0.388","17.24","0.025937370581","0.3053087702","High Decile Gap"
"Lao PDR",2018,"0.388","7.14","0.029546845798","0.312413538047","High Decile Gap"
"El Salvador",2022,"0.388","3.36","0.019258446928","0.287061157276","High Decile Gap"
"Kenya",2021,"0.387","36.15","0.029227412643","0.317854151457","High Decile Gap"
"Samoa",2013,"0.387","1.15","0.027383051878","0.312868260472","High Decile Gap"
"Malawi",2019,"0.385","70.06","0.028511213697","0.309760091374","High Decile Gap"
"Gabon",2017,"0.380","2.47","0.022408831657","0.277223959559","High Decile Gap"
"Togo",2021,"0.379","26.59","0.02785098521","0.296343027325","High Decile Gap"
"Israel",2021,"0.379","0.24","0.020000336548","0.266464928911","Moderate Decile Gap"
"Sri Lanka",2019,"0.377","0.96","0.031127021436","0.308403146949","High Decile Gap"
"Burundi",2020,"0.375","62.07","0.028761088979","0.298637106935","High Decile Gap"
